s.no,state_nrega_id,nrega_id,district_name,short_name,state_id,district_id
1,2,214,ALLURI SITHARAMA RAJU,ALLSITRAJ,02,0214
2,2,215,ANAKAPALLI,ANA,02,0215
3,2,212,ANANTAPUR,ANA,02,0212
4,2,223,ANNAMAYYA,ANN,02,0223
5,2,219,BAPATLA,BAP,02,0219
6,2,210,CHITTOOR,CHI,02,0210
7,2,204,EAST GODAVARI,EASGOD,02,0204
8,2,217,ELURU,ELU,02,0217
9,2,207,GUNTUR,GUN,02,0207
10,2,226,KAKINADA,KAK,02,0226
11,2,216,KONASEEMA,KON,02,0216
12,2,206,KRISHNA,KRI,02,0206
13,2,213,KURNOOL,KUR,02,0213
14,2,221,NANDYAL,NAN,02,0221
15,2,209,NELLORE,NEL,02,0209
16,2,218,NTR,NTR,02,0218
17,2,220,PALNADU,PAL,02,0220
18,2,225,PARVATHIPURAM MANYAM,PARMAN,02,0225
19,2,208,PRAKASAM,PRA,02,0208
20,2,222,SRI SATHYA SAI,SRISATSAI,02,0222
21,2,201,SRIKAKULAM,SRI,02,0201
22,2,224,TIRUPATI,TIR,02,0224
23,2,203,VISAKHAPATANAM,VIS,02,0203
24,2,202,VIZIANAGARAM,VIZ,02,0202
25,2,205,WEST GODAVARI,WESGOD,02,0205
26,2,211,Y.S.R,Y.S,02,0211
27,3,317,ANJAW,ANJ,03,0317
28,3,327,BICHOM,BIC,03,0327
29,3,310,CHANGLANG,CHA,03,0310
30,3,303,EAST KAMENG,EASKAM,03,0303
31,3,307,EAST SIANG,EASSIA,03,0307
32,3,325,KAMLE,KAM,03,0325
33,3,328,KEYI PANYOR,KEYPAN,03,0328
34,3,319,KRA-DAADI,KRA,03,0319
35,3,316,KURUNG KUMEY,KURKUM,03,0316
36,3,324,LEPARADA,LEP,03,0324
37,3,309,LOHIT,LOH,03,0309
38,3,318,LONGDING,LON,03,0318
39,3,314,LOWER DIBANG VALLEY,LOWDIBVAL,03,0314
40,3,326,LOWER SIANG,LOWSIA,03,0326
41,3,304,LOWER SUBANSIRI,LOWSUB,03,0304
42,3,321,NAMSAI,NAM,03,0321
43,3,323,PAKKE KESSANG,PAKKES,03,0323
44,3,312,PAPUM PARE,PAPPAR,03,0312
45,3,322,SHI YOMI,SHIYOM,03,0322
46,3,320,SIANG,SIA,03,0320
47,3,301,TAWANG,TAW,03,0301
48,3,311,TIRAP,TIR,03,0311
49,3,315,UPPER DIBANG VALLEY,UPPDIBVAL,03,0315
50,3,313,UPPER SIANG,UPPSIA,03,0313
51,3,305,UPPER SUBANSIRI,UPPSUB,03,0305
52,3,302,WEST KAMENG,WESKAM,03,0302
53,3,306,WEST SIANG,WESSIA,03,0306
54,4,433,BAJALI,BAJ,04,0433
55,4,424,BAKSA,BAK,04,0424
56,4,405,BARPETA,BAR,04,0405
57,4,428,Biswanath,BIS,04,0428
58,4,403,BONGAIGAON,BON,04,0403
59,4,423,CACHAR,CAC,04,0423
60,4,430,CHARAIDEO,CHA,04,0430
61,4,425,CHIRANG,CHI,04,0425
62,4,408,DARRANG,DAR,04,0408
63,4,411,DHEMAJI,DHE,04,0411
64,4,401,DHUBRI,DHU,04,0401
65,4,417,DIBRUGARH,DIB,04,0417
66,4,420,Dima Hasao,DIMHAS,04,0420
67,4,404,GOALPARA,GOA,04,0404
68,4,414,GOLAGHAT,GOL,04,0414
69,4,422,HAILAKANDI,HAI,04,0422
70,4,429,HOJAI,HOJ,04,0429
71,4,415,JORHAT,JOR,04,0415
72,4,407,KAMRUP,KAM,04,0407
73,4,426,KAMRUP (METRO),KAM(ME,04,0426
74,4,419,KARBI ANGLONG,KARANG,04,0419
75,4,402,KOKRAJHAR,KOK,04,0402
76,4,410,LAKHIMPUR,LAK,04,0410
77,4,432,MAJULI,MAJ,04,0432
78,4,412,Morigaon,MOR,04,0412
79,4,413,NAGAON,NAG,04,0413
80,4,406,NALBARI,NAL,04,0406
81,4,416,SIVASAGAR,SIV,04,0416
82,4,409,SONITPUR,SON,04,0409
83,4,431,SOUTH SALMARA-MANKACHAR,SOUSAL,04,0431
84,4,421,Sribhumi,SRI,04,0421
85,4,435,TAMULPUR,TAM,04,0435
86,4,418,TINSUKIA,TIN,04,0418
87,4,427,UDALGURI,UDA,04,0427
88,4,434,WEST KARBI ANGLONG,WESKARANG,04,0434
89,5,541,ARARIA,ARA,05,0541
90,5,551,ARWAL,ARW,05,0551
91,5,505,AURANAGABAD,AUR,05,0505
92,5,545,BANKA,BAN,05,0545
93,5,517,BEGUSARAI,BEG,05,0517
94,5,527,BHAGALPUR,BHA,05,0527
95,5,503,BHOJPUR,BHO,05,0503
96,5,548,BUXAR,BUX,05,0548
97,5,519,DARBHANGA,DAR,05,0519
98,5,507,GAYA,GAY,05,0507
99,5,511,GOPALGANJ,GOP,05,0511
100,5,550,JAMUI,JAM,05,0550
101,5,506,JEHANABAD,JEH,05,0506
102,5,549,KAIMUR (BHABUA),KAI(BH,05,0549
103,5,524,KATIHAR,KAT,05,0524
104,5,525,KHAGARIA,KHA,05,0525
105,5,542,KISHANGANJ,KIS,05,0542
106,5,546,LAKHISARAI,LAK,05,0546
107,5,522,MADHEPURA,MAD,05,0522
108,5,520,MADHUBANI,MAD,05,0520
109,5,526,MUNGER,MUN,05,0526
110,5,515,MUZAFFARPUR,MUZ,05,0515
111,5,502,NALANDA,NAL,05,0502
112,5,508,NAWADA,NAW,05,0508
113,5,512,PASHCHIM CHAMPARAN,PASCHA,05,0512
114,5,501,PATNA,PAT,05,0501
